row_number,employee_id,email,password,name,dob,gender,location,job_role,salary,dependents,lifestyle_tags,recommended_plan_type,coverage_level,premium_usd,employer_contrib_usd
1,E2824,johnsonjoshua@example.org,bVrpoiVgRV,Brian Yang,1989-12-13,,,,58031.0,,,Health,Silver,,
2,E2519,garzaanthony@example.org,ygw2wMqZcU,Jonathan Johnson,1990-10-19,,"Omaha, NE",Financial Advisor,68700.0,,"mental_health,yoga",Health,,152.42,
3,E5374,jennifermiles@example.com,S7RPeMOkIU,,1998-05-14,Non-Binary,"Fort Wayne, IN",,47103.0,,"mental_health,yoga",Disability,,164.79,
4,E3287,blakeerik@example.com,pVJIqVLB5L,Christopher Bernard,1992-12-01,M,"Philadelphia, PA",,55484.0,3.0,"travel,adventure",Life,Bronze,60.93,312.81
5,E6573,curtis61@example.com,hsBkDa9U4U,Lindsey Roman,1999-03-24,Non-Binary,"Omaha, NE",Financial Advisor,,1.0,"family,wellness",,,128.0,
6,E4946,yherrera@example.org,4K8ffUF0eW,Sandra Montgomery,,F,,Financial Advisor,58880.0,1.0,"travel,adventure",,,,
7,E4608,barbara10@example.net,aeTOdoe5c3,Dylan Miller,,Non-Binary,,Financial Advisor,60925.0,,"active,fitness",,Platinum,44.63,
8,E6559,michellejames@example.com,Z3gpmmICiB,,,M,,Project Coordinator,45967.0,,"travel,adventure",Life,,,
9,E7930,elizabethmiles@example.net,S9UYJQTFjm,Lisa Jackson,1989-04-24,,,Financial Advisor,,0.0,"active,fitness",,Silver,,280.08
10,E6183,frankgray@example.net,7qnQTupqzi,Colleen Nguyen,1994-09-23,,"Chicago, IL",,58969.0,1.0,"active,fitness",,Platinum,219.96,395.53
11,E1128,perezantonio@example.com,Q0Jt7Qg84i,Austin Gentry,1990-05-26,,,,86565.0,,,Life,,238.2,141.68
12,E8007,jason76@example.net,Jahe84S5jI,,1996-04-12,M,"Philadelphia, PA",Data Analyst,58767.0,0.0,"family,wellness",Life,Silver,,
13,E7755,julie69@example.com,blV7vY7AZQ,Zachary Taylor,1993-07-25,,"Philadelphia, PA",,,,,,Bronze,105.36,189.89
14,E9785,ddavis@example.org,v8bh4qlL9q,,2001-05-19,Non-Binary,"Hartford, CT",,,0.0,"active,fitness",Disability,,48.89,
15,E3041,cruzcaitlin@example.com,U5tGtQAuzS,Tricia Valencia,,Non-Binary,"Fort Wayne, IN",UX Designer,,1.0,"family,wellness",,Platinum,168.02,385.94
16,E2389,frazierdanny@example.net,sGQONvf08W,,,,,Marketing Associate,49772.0,1.0,"travel,adventure",,Bronze,262.32,
17,E9486,ryan70@example.net,DdJp62hDiZ,Deborah Mason,1999-11-30,Non-Binary,"Hartford, CT",Project Coordinator,72966.0,3.0,"tech,gadget",,Silver,104.87,
